傌	㐷 骂
犧	牺
犂	犁
犢	犊
狀	状
獷	犷
獁	犸
猶	犹
狽	狈
獮	狝
獰	狞
獨	独
狹	狭
陿	狭
獅	狮
獪	狯
猙	狰
獄	狱
猻	狲
獧	狷
貍	狸
獫	猃
獵	猎
獼	猕
玀	猡
豬	猪
貓	猫
蝟	猬
獻	献
猨	猿
蝯	猿
麞	獐
獺	獭
䝔	獾
貛	獾
璣	玑
璵	玙
瑒	玚
瑪	玛
翫	玩
瑋	玮
環	环
現	现
瑲	玱
瑇	玳
璽	玺
珊	珊
珎	珍
琺	珐
瓏	珑
璫	珰
琿	珲
毬	球
瑯	琅
瑠	琉
璢	琉
璡	琎
璉	琏
瑣	琐
𤨏	琐
琹	琴
瓊	琼
瓌	瑰
瑤	瑶
璦	瑷
璸	瑸
琍	璃
瓈	璃
璿	璇
瓔	璎
瓚	瓒
甕	瓮
罋	瓮
甌	瓯
缾	瓶
電	电
畫	画 划
畵	画
暢	畅
㽞	留
畱	留
𤱊	留
畧	略
疇	畴
疎	疏
癤	疖
療	疗
瘧	疟
癘	疠
瘍	疡
癧	疬
瘲	疭
瘡	疮
瘋	疯
皰	疱
痾	疴
癥	症
癰	痈
痙	痉
癢	痒
瘂	痖
癆	痨
瘓	痪
癇	痫
疿	痱
癡	痴
痺	痹
癉	瘅
瘮	瘆
瘞	瘗
瘺	瘘
瘻	瘘
癅	瘤
𤺥	瘩
㿜	瘪
癟	瘪
癱	瘫
癮	瘾
癭	瘿
癩	癞
癬	癣
癲	癫
皁	皂
皐	皋
臯	皋
皚	皑
暠	皓
皜	皓
皺	皱
皸	皲
盇	盍
琖	盏
盞	盏
醆	盏
鹽	盐
監	监
蓋	盖
盜	盗
盤	盘
𦕈	眇
瞘	眍
眞	真
眥	眦
矓	眬
瞇	眯
睠	眷
覜	眺
著	着 著
睜	睁
睞	睐
瞼	睑
倸	睬
覩	睹
睪	睾
叡	睿
矁	瞅
𥄨	瞅
瞶	瞆
瞞	瞒
矚	瞩
瞭	瞭 了
矙	瞰
榘	矩
矯	矫
磯	矶
礬	矾
礦	矿
鑛	矿
碭	砀
碼	码
塼	砖
甎	砖
磚	砖
硨	砗
硯	砚
碸	砜
碪	砧
礪	砺
礱	砻
礫	砾
礎	础
硜	硁
碩	硕
硤	硖
磽	硗
磑	硙
礄	硚
確	确
磠	硵
礆	硷
椗	碇
矴	碇
磟	碌
礙	碍
㼝	碗
椀	碗
盌	碗
磧	碛
磣	碜
掽	碰
踫	碰
堿	碱
鹻	碱
鹼	碱
𦉆	碴
燐	磷
粦	磷
禮	礼
禩	祀
禡	祃
祇	祇 只
禕	祎
禰	祢
禎	祯
禱	祷
旤	祸
禍	祸
稟	禀
祿	禄
禪	禅
離	离
俬	私
禿	秃
稈	秆
秌	秋
鞦	秋
𥤚	秋
種	种
粃	秕
祕	秘
