傌	㐷 骂
ㄗㄥˋ	zèng
˙ㄓㄚ	zha
ㄓㄚ	zhā
ㄓㄚˊ	zhá
ㄓㄚˇ	zhǎ
ㄓㄚˋ	zhà
˙ㄓㄞ	zhai
ㄓㄞ	zhāi
ㄓㄞˊ	zhái
ㄓㄞˇ	zhǎi
ㄓㄞˋ	zhài
˙ㄓㄢ	zhan
ㄓㄢ	zhān
ㄓㄢˊ	zhán
ㄓㄢˇ	zhǎn
ㄓㄢˋ	zhàn
˙ㄓㄤ	zhang
ㄓㄤ	zhāng
ㄓㄤˊ	zháng
ㄓㄤˇ	zhǎng
ㄓㄤˋ	zhàng
˙ㄓㄠ	zhao
ㄓㄠ	zhāo
ㄓㄠˊ	zháo
ㄓㄠˇ	zhǎo
ㄓㄠˋ	zhào
˙ㄓㄜ	zhe
ㄓㄜ	zhē
ㄓㄜˊ	zhé
ㄓㄜˇ	zhě
ㄓㄜˋ	zhè
˙ㄓㄣ	zhen
ㄓㄣ	zhēn
ㄓㄣˊ	zhén
ㄓㄣˇ	zhěn
ㄓㄣˋ	zhèn
˙ㄓㄥ	zheng
ㄓㄥ	zhēng
ㄓㄥˊ	zhéng
ㄓㄥˇ	zhěng
ㄓㄥˋ	zhèng
˙ㄓ	zhi
ㄓ	zhī
ㄓˊ	zhí
ㄓˇ	zhǐ
ㄓˋ	zhì
˙ㄓㄨㄥ	zhong
ㄓㄨㄥ	zhōng
ㄓㄨㄥˊ	zhóng
ㄓㄨㄥˇ	zhǒng
ㄓㄨㄥˋ	zhòng
˙ㄓㄡ	zhou
ㄓㄡ	zhōu
ㄓㄡˊ	zhóu
ㄓㄡˇ	zhǒu
ㄓㄡˋ	zhòu
˙ㄓㄨ	zhu
ㄓㄨ	zhū
ㄓㄨˊ	zhú
ㄓㄨˇ	zhǔ
ㄓㄨˋ	zhù
˙ㄓㄨㄚ	zhua
ㄓㄨㄚ	zhuā
ㄓㄨㄚˊ	zhuá
ㄓㄨㄚˇ	zhuǎ
ㄓㄨㄚˋ	zhuà
˙ㄓㄨㄞ	zhuai
ㄓㄨㄞ	zhuāi
ㄓㄨㄞˊ	zhuái
ㄓㄨㄞˇ	zhuǎi
ㄓㄨㄞˋ	zhuài
˙ㄓㄨㄢ	zhuan
ㄓㄨㄢ	zhuān
ㄓㄨㄢˊ	zhuán
ㄓㄨㄢˇ	zhuǎn
ㄓㄨㄢˋ	zhuàn
˙ㄓㄨㄤ	zhuang
ㄓㄨㄤ	zhuāng
ㄓㄨㄤˊ	zhuáng
ㄓㄨㄤˇ	zhuǎng
ㄓㄨㄤˋ	zhuàng
˙ㄓㄨㄟ	zhui
ㄓㄨㄟ	zhuī
ㄓㄨㄟˊ	zhuí
ㄓㄨㄟˇ	zhuǐ
ㄓㄨㄟˋ	zhuì
˙ㄓㄨㄣ	zhun
ㄓㄨㄣ	zhūn
ㄓㄨㄣˊ	zhún
ㄓㄨㄣˇ	zhǔn
ㄓㄨㄣˋ	zhùn
˙ㄓㄨㄛ	zhuo
ㄓㄨㄛ	zhuō
ㄓㄨㄛˊ	zhuó
ㄓㄨㄛˇ	zhuǒ
ㄓㄨㄛˋ	zhuò
˙ㄗ	zi
ㄗ	zī
ㄗˊ	zí
ㄗˇ	zǐ
ㄗˋ	zì
˙ㄗㄨㄥ	zong
ㄗㄨㄥ	zōng
ㄗㄨㄥˊ	zóng
ㄗㄨㄥˇ	zǒng
ㄗㄨㄥˋ	zòng
˙ㄗㄡ	zou
ㄗㄡ	zōu
ㄗㄡˊ	zóu
ㄗㄡˇ	zǒu
ㄗㄡˋ	zòu
˙ㄗㄨ	zu
ㄗㄨ	zū
ㄗㄨˊ	zú
ㄗㄨˇ	zǔ
ㄗㄨˋ	zù
˙ㄗㄨㄢ	zuan
ㄗㄨㄢ	zuān
ㄗㄨㄢˊ	zuán
ㄗㄨㄢˇ	zuǎn
ㄗㄨㄢˋ	zuàn
˙ㄗㄨㄟ	zui
ㄗㄨㄟ	zuī
ㄗㄨㄟˊ	zuí
ㄗㄨㄟˇ	zuǐ
ㄗㄨㄟˋ	zuì
˙ㄗㄨㄣ	zun
ㄗㄨㄣ	zūn
ㄗㄨㄣˊ	zún
ㄗㄨㄣˇ	zǔn
ㄗㄨㄣˋ	zùn
˙ㄗㄨㄛ	zuo
ㄗㄨㄛ	zuō
ㄗㄨㄛˊ	zuó
ㄗㄨㄛˇ	zuǒ
ㄗㄨㄛˋ	zuò
